timestap;event;symbol;period;magic;bid;ask;spread;ticket;op;lots;price;sl;tp;slip;result;error;floating_pl;closed_pl_today;vwap;basket_tp;note
2025.07.23 19:55:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17338;1.17340;2;818;1;0.01;1.17338;0.00000;0.00000;5;1;0;-1.03;20.50;;;EURUSD-Euro Scalper-1
2025.07.23 19:55:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17338;1.17340;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-1.03;20.50;;;vwap=1.17291; basket_tp=1.17261
2025.07.23 19:55:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17338;1.17340;2;818;1;0.01;1.17291;0.00000;1.17261;0;0;0;-1.03;20.50;;;
2025.07.23 19:55:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17338;1.17340;2;818;1;0.01;1.17291;0.00000;1.17261;0;1;0;-1.03;20.50;;;
2025.07.23 19:55:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17338;1.17340;2;817;1;0.01;1.17291;0.00000;1.17261;0;0;0;-1.03;20.50;;;
2025.07.23 19:55:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17338;1.17340;2;817;1;0.01;1.17291;0.00000;1.17261;0;1;0;-1.03;20.50;;;
2025.07.23 20:00:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17462;1.17464;2;0;1;0.01;1.17462;0.00000;0.00000;5;0;0;-3.51;20.50;;;EURUSD-Euro Scalper-2
2025.07.23 20:00:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17462;1.17464;2;819;1;0.01;1.17462;0.00000;0.00000;5;1;0;-3.55;20.50;;;EURUSD-Euro Scalper-2
2025.07.23 20:00:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17462;1.17464;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-3.55;20.50;;;vwap=1.17348; basket_tp=1.17318
2025.07.23 20:00:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17462;1.17464;2;819;1;0.01;1.17348;0.00000;1.17318;0;0;0;-3.55;20.50;;;
2025.07.23 20:00:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17462;1.17464;2;819;1;0.01;1.17348;0.00000;1.17318;0;1;0;-3.55;20.50;;;
2025.07.23 20:00:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17462;1.17464;2;818;1;0.01;1.17348;0.00000;1.17318;0;0;0;-3.55;20.50;;;
2025.07.23 20:00:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17462;1.17464;2;818;1;0.01;1.17348;0.00000;1.17318;0;1;0;-3.55;20.50;;;
2025.07.23 20:00:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17462;1.17464;2;817;1;0.01;1.17348;0.00000;1.17318;0;0;0;-3.55;20.50;;;
2025.07.23 20:00:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17462;1.17464;2;817;1;0.01;1.17348;0.00000;1.17318;0;1;0;-3.55;20.50;;;
2025.07.23 20:05:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17562;1.17564;2;0;1;0.01;1.17562;0.00000;0.00000;5;0;0;-6.55;20.50;;;EURUSD-Euro Scalper-3
2025.07.23 20:05:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17562;1.17564;2;820;1;0.01;1.17562;0.00000;0.00000;5;1;0;-6.59;20.50;;;EURUSD-Euro Scalper-3
2025.07.23 20:05:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17562;1.17564;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-6.59;20.50;;;vwap=1.17401; basket_tp=1.17371
2025.07.23 20:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17562;1.17564;2;820;1;0.01;1.17401;0.00000;1.17371;0;0;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17562;1.17564;2;820;1;0.01;1.17401;0.00000;1.17371;0;1;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17562;1.17564;2;819;1;0.01;1.17401;0.00000;1.17371;0;0;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17562;1.17564;2;819;1;0.01;1.17401;0.00000;1.17371;0;1;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17562;1.17564;2;818;1;0.01;1.17401;0.00000;1.17371;0;0;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17562;1.17564;2;818;1;0.01;1.17401;0.00000;1.17371;0;1;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17562;1.17564;2;817;1;0.01;1.17401;0.00000;1.17371;0;0;0;-6.59;20.50;;;
2025.07.23 20:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17562;1.17564;2;817;1;0.01;1.17401;0.00000;1.17371;0;1;0;-6.59;20.50;;;
2025.07.23 21:05:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17599;1.17601;2;0;1;0.01;1.17599;0.00000;0.00000;5;0;0;-8.07;20.50;;;EURUSD-Euro Scalper-4
2025.07.23 21:05:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17599;1.17601;2;821;1;0.01;1.17599;0.00000;0.00000;5;1;0;-8.11;20.50;;;EURUSD-Euro Scalper-4
2025.07.23 21:05:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17599;1.17601;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-8.11;20.50;;;vwap=1.17441; basket_tp=1.17411
2025.07.23 21:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17599;1.17601;2;821;1;0.01;1.17441;0.00000;1.17411;0;0;0;-8.11;20.50;;;
2025.07.23 21:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17599;1.17601;2;821;1;0.01;1.17441;0.00000;1.17411;0;1;0;-8.11;20.50;;;
2025.07.23 21:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17599;1.17601;2;820;1;0.01;1.17441;0.00000;1.17411;0;0;0;-8.11;20.50;;;
